"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"Z";"06.09.2026";"19:06:28";57;7;"GEM";"15001000";"Dessau-Roßlau, Stadt";"U";2912;1741;17;1724;251;887;125;132;62;117;15;0;18;8;4;6;91;1;7;23;1718;390;928;158;113;71;35;17;;;;;6;;;;;""
"L";;;22;0;"GEM";"15001000";"Dessau-Roßlau, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;""
"Z";"06.09.2026";"19:06:28";79;7;"GEM";"15001000";"Dessau-Roßlau, Stadt";"";2912;1741;17;1724;251;887;125;132;62;117;15;0;18;8;4;6;91;1;7;23;1718;390;928;158;113;71;35;17;;;;;6;;;;;""
"Z";"06.09.2026";"18:47:12";126;2;"GEM";"15002000";"Halle (Saale), Stadt";"U";458;229;3;226;19;117;8;23;3;31;3;0;6;2;0;0;14;0;0;3;226;28;121;31;13;1;13;6;;;;;;12;;;1;""
"L";;;60;0;"GEM";"15002000";"Halle (Saale), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;;;0;""
"Z";"06.09.2026";"18:47:12";186;2;"GEM";"15002000";"Halle (Saale), Stadt";"";458;229;3;226;19;117;8;23;3;31;3;0;6;2;0;0;14;0;0;3;226;28;121;31;13;1;13;6;;;;;;12;;;1;""
"L";;;148;0;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;;0;;0;;0;;""
"Z";"06.09.2026";"18:46:26";70;1;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"B";0;119;0;119;38;15;10;18;4;18;1;1;2;0;0;2;7;1;2;2;117;40;16;23;13;3;8;;;1;;2;;8;;3;;""
"Z";"06.09.2026";"18:46:26";218;1;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"";0;119;0;119;38;15;10;18;4;18;1;1;2;0;0;2;7;1;2;2;117;40;16;23;13;3;8;;;1;;2;;8;;3;;""
"Z";"06.09.2026";"18:52:37";3;2;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"U";879;654;7;647;104;316;50;62;15;34;4;0;7;2;3;2;46;2;0;8;646;143;321;71;41;11;18;;;;8;;;33;;;;""
"L";;;1;0;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:37";4;2;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"";879;654;7;647;104;316;50;62;15;34;4;0;7;2;3;2;46;2;0;8;646;143;321;71;41;11;18;;;;8;;;33;;;;""
"Z";"06.09.2026";"18:52:14";16;12;"GEM";"15081030";"Arendsee (Altmark), Stadt";"U";2151;1440;19;1421;261;657;128;101;48;107;15;3;12;3;8;4;63;2;9;25;1415;340;639;165;110;41;40;;;;18;;;62;;;;""
"L";;;1;0;"GEM";"15081030";"Arendsee (Altmark), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:14";17;12;"GEM";"15081030";"Arendsee (Altmark), Stadt";"";2151;1440;19;1421;261;657;128;101;48;107;15;3;12;3;8;4;63;2;9;25;1415;340;639;165;110;41;40;;;;18;;;62;;;;""
"Z";"06.09.2026";"18:40:57";6;4;"GEM";"15081045";"Beetzendorf";"U";940;596;0;596;94;245;66;40;15;87;5;2;5;3;2;2;29;1;0;2;594;159;241;102;27;7;27;;;;4;;;27;;;;""
"L";;;1;0;"GEM";"15081045";"Beetzendorf";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:40:57";7;4;"GEM";"15081045";"Beetzendorf";"";940;596;0;596;94;245;66;40;15;87;5;2;5;3;2;2;29;1;0;2;594;159;241;102;27;7;27;;;;4;;;27;;;;""
"L";;;2;0;"GEM";"15081095";"Dähre";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"L";;;1;0;"GEM";"15081095";"Dähre";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"L";;;3;0;"GEM";"15081095";"Dähre";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"L";;;1;0;"GEM";"15081105";"Diesdorf, Flecken";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"L";;;1;0;"GEM";"15081105";"Diesdorf, Flecken";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"L";;;2;0;"GEM";"15081105";"Diesdorf, Flecken";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:58";37;13;"GEM";"15081135";"Gardelegen, Hansestadt";"U";2589;1877;20;1857;334;827;142;218;47;110;21;1;24;11;3;16;97;1;5;21;1856;466;817;174;157;60;40;;;;22;;;120;;;;""
"L";;;3;0;"GEM";"15081135";"Gardelegen, Hansestadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:52:58";40;13;"GEM";"15081135";"Gardelegen, Hansestadt";"";2589;1877;20;1857;334;827;142;218;47;110;21;1;24;11;3;16;97;1;5;21;1856;466;817;174;157;60;40;;;;22;;;120;;;;""
"Z";"06.09.2026";"18:40:02";5;4;"GEM";"15081225";"Jübar";"U";804;573;3;570;80;327;39;42;3;31;10;0;8;4;1;4;21;0;0;4;569;137;310;34;39;12;10;;;;8;;;19;;;;""
"L";;;1;0;"GEM";"15081225";"Jübar";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:40:02";6;4;"GEM";"15081225";"Jübar";"";804;573;3;570;80;327;39;42;3;31;10;0;8;4;1;4;21;0;0;4;569;137;310;34;39;12;10;;;;8;;;19;;;;""
"Z";"06.09.2026";"18:51:16";17;10;"GEM";"15081240";"Kalbe (Milde), Stadt";"U";2268;1501;15;1486;247;731;114;122;37;112;12;2;13;4;7;6;72;1;6;17;1484;346;734;151;89;45;31;;;;21;;;67;;;;""
"L";;;1;0;"GEM";"15081240";"Kalbe (Milde), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:51:16";18;10;"GEM";"15081240";"Kalbe (Milde), Stadt";"";2268;1501;15;1486;247;731;114;122;37;112;12;2;13;4;7;6;72;1;6;17;1484;346;734;151;89;45;31;;;;21;;;67;;;;""
"Z";"06.09.2026";"18:50:08";17;6;"GEM";"15081280";"Klötze, Stadt";"U";1108;768;9;759;134;303;70;111;20;72;12;0;5;2;1;2;25;0;2;10;758;207;301;114;68;23;18;;;;1;;;26;;;;""
"L";;;2;0;"GEM";"15081280";"Klötze, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:50:08";19;6;"GEM";"15081280";"Klötze, Stadt";"";1108;768;9;759;134;303;70;111;20;72;12;0;5;2;1;2;25;0;2;10;758;207;301;114;68;23;18;;;;1;;;26;;;;""
"Z";"06.09.2026";"18:41:40";3;2;"GEM";"15081290";"Kuhfelde";"U";470;358;0;358;66;180;25;21;12;30;4;0;0;2;4;3;10;1;0;1;357;85;181;25;22;15;9;;;;8;;;12;;;;""
"L";;;1;0;"GEM";"15081290";"Kuhfelde";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:41:40";4;2;"GEM";"15081290";"Kuhfelde";"";470;358;0;358;66;180;25;21;12;30;4;0;0;2;4;3;10;1;0;1;357;85;181;25;22;15;9;;;;8;;;12;;;;""
"Z";"06.09.2026";"18:35:45";3;2;"GEM";"15081440";"Rohrberg";"U";406;298;0;298;52;157;16;26;3;25;0;1;3;3;0;1;11;0;0;0;298;77;154;18;27;5;5;;;;6;;;6;;;;""
"L";;;1;0;"GEM";"15081440";"Rohrberg";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:35:45";4;2;"GEM";"15081440";"Rohrberg";"";406;298;0;298;52;157;16;26;3;25;0;1;3;3;0;1;11;0;0;0;298;77;154;18;27;5;5;;;;6;;;6;;;;""
"Z";"06.09.2026";"18:45:59";21;6;"GEM";"15081455";"Salzwedel, Hansestadt";"U";1950;1295;14;1281;196;619;117;116;36;87;12;5;11;5;5;6;62;4;0;13;1282;302;611;138;84;45;30;;;;12;;;60;;;;""
"L";;;4;0;"GEM";"15081455";"Salzwedel, Hansestadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;;""
"Z";"06.09.2026";"18:45:59";25;6;"GEM";"15081455";"Salzwedel, Hansestadt";"";1950;1295;14;1281;196;619;117;116;36;87;12;5;11;5;5;6;62;4;0;13;1282;302;611;138;84;45;30;;;;12;;;60;;;;""
