"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB";"Gewählt im Wahlkreis"
"V";"06.09.2026";"21:47:17";57;57;"GEM";"15001000";"Dessau-Roßlau, Stadt";"U";61152;34306;393;33913;5218;15430;2648;2968;959;3146;304;35;418;164;91;199;2163;42;128;500;33806;8314;16324;3497;2560;1414;1174;367;;;;;156;;;;;""
"V";"06.09.2026";"23:17:11";22;22;"GEM";"15001000";"Dessau-Roßlau, Stadt";"B";0;12777;80;12697;3333;2704;1305;1741;493;1791;151;17;147;66;29;60;800;21;39;169;12608;5093;2801;1665;1302;759;776;153;;;;;59;;;;;""
"V";"06.09.2026";"23:17:11";79;79;"GEM";"15001000";"Dessau-Roßlau, Stadt";"";61152;47083;473;46610;8551;18134;3953;4709;1452;4937;455;52;565;230;120;259;2963;63;167;669;46414;13407;19125;5162;3862;2173;1950;520;;;;;215;;;;;""
"Z";"06.09.2026";"23:01:01";126;124;"GEM";"15002000";"Halle (Saale), Stadt";"U";171941;87768;922;86846;10638;32282;9069;9325;2325;15654;632;131;917;330;281;440;4360;139;323;1034;86734;15127;32728;18800;7718;2622;5493;385;;;;;;3667;;;194;""
"Z";"06.09.2026";"22:57:36";60;56;"GEM";"15002000";"Halle (Saale), Stadt";"B";0;41794;188;41606;7340;6366;5554;6794;1359;10714;362;61;338;192;130;157;2012;79;148;267;41527;9876;6217;12996;4943;1596;3554;248;;;;;;2000;;;97;""
"Z";"06.09.2026";"23:01:01";186;180;"GEM";"15002000";"Halle (Saale), Stadt";"";171941;129562;1110;128452;17978;38648;14623;16119;3684;26368;994;192;1255;522;411;597;6372;218;471;1301;128261;25003;38945;31796;12661;4218;9047;633;;;;;;5667;;;291;""
"V";"06.09.2026";"22:10:38";148;148;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"U";176179;87741;833;86908;10925;36042;8587;8553;2170;12349;442;129;797;1211;254;691;4227;125;406;829;86912;18822;36539;13847;6180;2069;3311;;;1683;;573;;3635;;253;;""
"V";"06.09.2026";"23:06:33";70;70;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"B";0;51822;209;51613;10296;9119;6726;8175;1846;10019;328;62;453;710;165;438;2877;108;291;277;51545;16774;8940;10915;5366;1845;3172;;;1254;;426;;2598;;255;;""
"V";"06.09.2026";"23:06:33";218;218;"GEM";"15003000";"Magdeburg, Landeshauptstadt";"";176179;139563;1042;138521;21221;45161;15313;16728;4016;22368;770;191;1250;1921;419;1129;7104;233;697;1106;138457;35596;45479;24762;11546;3914;6483;;;2937;;999;;6233;;508;;""
"V";"06.09.2026";"19:03:27";3;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"U";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;;""
"V";"06.09.2026";"22:19:31";1;1;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"B";0;122;1;121;34;41;9;15;7;8;0;0;0;0;0;0;7;0;0;1;121;45;37;12;7;5;3;;;;0;;;12;;;;""
"V";"06.09.2026";"22:19:31";4;4;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"";1315;1069;15;1054;179;495;80;112;31;61;5;1;7;5;3;3;69;2;1;14;1055;279;497;96;66;23;26;;;;9;;;59;;;;""
"V";"06.09.2026";"19:36:04";16;16;"GEM";"15081030";"Arendsee (Altmark), Stadt";"U";5337;3268;39;3229;543;1573;296;238;122;177;31;12;23;10;12;11;163;5;13;45;3223;715;1556;350;249;86;71;;;;30;;;166;;;;""
"V";"06.09.2026";"20:49:45";1;1;"GEM";"15081030";"Arendsee (Altmark), Stadt";"B";0;978;7;971;228;265;143;129;19;75;9;3;14;5;7;7;61;2;4;12;966;310;251;171;101;23;30;;;;20;;;60;;;;""
"V";"06.09.2026";"20:49:45";17;17;"GEM";"15081030";"Arendsee (Altmark), Stadt";"";5337;4246;46;4200;771;1838;439;367;141;252;40;15;37;15;19;18;224;7;17;57;4189;1025;1807;521;350;109;101;;;;50;;;226;;;;""
"V";"06.09.2026";"19:55:18";6;6;"GEM";"15081045";"Beetzendorf";"U";2442;1368;13;1355;201;640;125;108;28;134;13;4;10;6;8;5;70;2;1;14;1354;337;633;164;74;27;45;;;;13;;;61;;;;""
"V";"06.09.2026";"21:22:57";1;1;"GEM";"15081045";"Beetzendorf";"B";0;522;2;520;114;111;63;80;11;84;5;5;4;1;2;1;33;2;4;2;520;172;111;103;64;19;20;;;;4;;;27;;;;""
"V";"06.09.2026";"21:22:57";7;7;"GEM";"15081045";"Beetzendorf";"";2442;1890;15;1875;315;751;188;188;39;218;18;9;14;7;10;6;103;4;5;16;1874;509;744;267;138;46;65;;;;17;;;88;;;;""
"V";"06.09.2026";"19:26:32";2;2;"GEM";"15081095";"Dähre";"U";1125;717;7;710;124;333;62;60;29;63;4;1;2;0;2;0;30;0;0;5;712;185;334;71;45;30;17;;;;4;;;26;;;;""
"V";"06.09.2026";"22:09:54";1;1;"GEM";"15081095";"Dähre";"B";0;182;1;181;45;36;23;33;3;14;1;0;0;0;1;0;22;3;0;2;180;66;36;23;26;5;3;;;;1;;;20;;;;""
"V";"06.09.2026";"22:09:54";3;3;"GEM";"15081095";"Dähre";"";1125;899;8;891;169;369;85;93;32;77;5;1;2;0;3;0;52;3;0;7;892;251;370;94;71;35;20;;;;5;;;46;;;;""
"V";"06.09.2026";"21:00:36";1;1;"GEM";"15081105";"Diesdorf, Flecken";"U";1802;1047;11;1036;171;509;74;108;18;76;8;4;9;2;2;6;45;2;2;12;1035;291;500;80;77;15;21;;;;6;;;45;;;;""
"V";"06.09.2026";"20:17:31";1;1;"GEM";"15081105";"Diesdorf, Flecken";"B";0;406;0;406;111;86;50;48;18;45;7;2;4;0;5;2;27;1;0;1;405;167;84;48;34;22;16;;;;11;;;23;;;;""
"V";"06.09.2026";"21:00:36";2;2;"GEM";"15081105";"Diesdorf, Flecken";"";1802;1453;11;1442;282;595;124;156;36;121;15;6;13;2;7;8;72;3;2;13;1440;458;584;128;111;37;37;;;;17;;;68;;;;""
"V";"06.09.2026";"20:15:47";37;37;"GEM";"15081135";"Gardelegen, Hansestadt";"U";17566;11136;129;11007;1715;5197;921;1087;311;694;104;15;126;70;41;68;598;23;37;126;11010;2597;5128;1053;835;391;216;;;;169;;;621;;;;""
"V";"06.09.2026";"21:20:07";3;3;"GEM";"15081135";"Gardelegen, Hansestadt";"B";0;2713;15;2698;654;583;324;461;128;292;17;2;20;14;15;10;156;9;13;20;2693;1020;565;381;278;133;89;;;;45;;;182;;;;""
"V";"06.09.2026";"21:20:07";40;40;"GEM";"15081135";"Gardelegen, Hansestadt";"";17566;13849;144;13705;2369;5780;1245;1548;439;986;121;17;146;84;56;78;754;32;50;146;13703;3617;5693;1434;1113;524;305;;;;214;;;803;;;;""
"V";"06.09.2026";"18:59:32";5;5;"GEM";"15081225";"Jübar";"U";1230;853;7;846;134;469;57;60;10;47;11;1;11;5;1;5;33;2;0;6;847;238;432;54;53;17;13;;;;10;;;30;;;;""
"V";"06.09.2026";"21:34:50";1;1;"GEM";"15081225";"Jübar";"B";0;191;0;191;38;63;21;20;12;21;1;1;0;1;2;0;11;0;0;1;190;61;50;26;17;11;12;;;;1;;;12;;;;""
"V";"06.09.2026";"21:34:50";6;6;"GEM";"15081225";"Jübar";"";1230;1044;7;1037;172;532;78;80;22;68;12;2;11;6;3;5;44;2;0;7;1037;299;482;80;70;28;25;;;;11;;;42;;;;""
"V";"06.09.2026";"20:42:54";17;17;"GEM";"15081240";"Kalbe (Milde), Stadt";"U";5865;3600;35;3565;558;1746;324;303;88;227;27;8;35;10;15;15;193;4;12;38;3562;788;1757;405;219;90;74;;;;46;;;183;;;;""
"V";"06.09.2026";"20:10:38";1;1;"GEM";"15081240";"Kalbe (Milde), Stadt";"B";0;1000;3;997;270;254;115;113;33;93;9;1;8;4;6;3;81;1;6;3;997;385;234;142;76;25;36;;;;16;;;83;;;;""
"V";"06.09.2026";"20:42:54";18;18;"GEM";"15081240";"Kalbe (Milde), Stadt";"";5865;4600;38;4562;828;2000;439;416;121;320;36;9;43;14;21;18;274;5;18;41;4559;1173;1991;547;295;115;110;;;;62;;;266;;;;""
"V";"06.09.2026";"20:56:16";17;17;"GEM";"15081280";"Klötze, Stadt";"U";7954;4836;63;4773;776;2199;420;525;124;311;52;6;36;25;27;30;220;10;12;59;4777;1075;2169;672;356;123;114;;;;58;;;210;;;;""
"V";"06.09.2026";"20:58:06";2;2;"GEM";"15081280";"Klötze, Stadt";"B";0;1518;3;1515;425;321;178;221;54;149;17;3;9;13;8;6;104;4;3;11;1507;544;293;328;148;43;42;;;;18;;;91;;;;""
"V";"06.09.2026";"20:58:06";19;19;"GEM";"15081280";"Klötze, Stadt";"";7954;6354;66;6288;1201;2520;598;746;178;460;69;9;45;38;35;36;324;14;15;70;6284;1619;2462;1000;504;166;156;;;;76;;;301;;;;""
